nr|query|ldeepquery|steps|costs|planningtime
0|SELECT * FROM company_type, info_type, movie_companies, movie_info_idx, title WHERE company_type.id = movie_companies.company_type_id AND title.id = movie_companies.movie_id AND title.id = movie_info_idx.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND info_type.id = movie_info_idx.info_type_id  |((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) movie_info_idx AS movieinfoidx) title)|26|893072535.2|0.0358121395111084
1|SELECT * FROM cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name)|57|245013274.2|0.08138012886047363
2|SELECT * FROM keyword, movie_info, movie_keyword, title WHERE title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND keyword.id = movie_keyword.keyword_id  |(((keyword movie_keyword AS moviekeyword) title) movie_info AS movieinfo)|15|63043526.4|0.019805192947387695
3|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, company_name, company_type, info_type, info_type AS info_type2, keyword, kind_type, movie_companies, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND title.id = movie_companies.movie_id AND title.id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND movie_info_idx.movie_id = complete_cast.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |(((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) kind_type AS kindtype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|187|43851104439.2|0.4940204620361328
4|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, char_name, cast_info, info_type, keyword, kind_type, movie_info_idx, movie_keyword, name, title WHERE kind_type.id = title.kind_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND title.id = complete_cast.movie_id AND title.id = movie_info_idx.movie_id AND movie_keyword.movie_id = cast_info.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = complete_cast.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND complete_cast.movie_id = movie_info_idx.movie_id AND char_name.id = cast_info.person_role_id AND name.id = cast_info.person_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id AND info_type.id = movie_info_idx.info_type_id  |((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info_idx AS movieinfoidx) title) kind_type AS kindtype) cast_info AS castinfo) char_name AS charname) name) movie_keyword AS moviekeyword) keyword)|155|15973698140.2|0.3141942024230957
5|SELECT * FROM keyword, link_type, movie_keyword, movie_link, title, title AS title2 WHERE movie_keyword.keyword_id = keyword.id AND title.id = movie_keyword.movie_id AND movie_link.movie_id = title.id AND movie_link.linked_movie_id = title2.id AND link_type.id = movie_link.link_type_id AND movie_keyword.movie_id = title.id  |((((link_type AS linktype movie_link AS movielink) title) movie_keyword AS moviekeyword) keyword)|26|342945798.0|0.03077840805053711
6|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, keyword, kind_type, movie_companies, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND title.id = movie_companies.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id  |(((((((((company_type AS companytype info_type AS infotype) kind_type AS kindtype) title) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|126|745633960994.8|0.23411822319030762
7|SELECT * FROM info_type, keyword, movie_info_idx, movie_keyword, title WHERE title.id = movie_info_idx.movie_id AND title.id = movie_keyword.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info_idx.info_type_id  |((((keyword movie_keyword AS moviekeyword) title) movie_info_idx AS movieinfoidx) info_type AS infotype)|26|117554419.4|0.027678251266479492
8|SELECT * FROM cast_info, company_name, info_type, info_type AS info_type2, keyword, movie_companies, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id AND company_name.id = movie_companies.company_id  |(((((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo) info_type AS infotype) movie_info_idx AS movieinfoidx) cast_info AS castinfo) name)|126|9544978516.2|0.2678520679473877
9|SELECT * FROM complete_cast, comp_cast_type, company_name, company_type, info_type, keyword, kind_type, movie_companies, movie_info, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND title.id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id AND comp_cast_type.id = complete_cast.status_id  |((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) kind_type AS kindtype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword)|155|1747535261.3999999|0.31748175621032715
