SELECT * FROM a;
SELECT * FROM b;
SELECT * FROM c;
SELECT * FROM a, b WHERE a.t=b.u;
SELECT * FROM a, c WHERE a.t=c.x;
SELECT * FROM b, c WHERE b.u=c.x;
SELECT * FROM a, b WHERE a.s=b.v;
SELECT * FROM a, c WHERE a.s=c.y;
SELECT * FROM b, c WHERE b.v=c.y;
SELECT * FROM a, b WHERE a.r=b.w;
SELECT * FROM a, c WHERE a.r=c.z;
SELECT * FROM b, c WHERE b.w=c.z;
SELECT * FROM a,b,c WHERE a.t=b.u AND a.s=c.y;
SELECT * FROM a,b,c WHERE a.t=b.u AND b.v=c.y;
SELECT * FROM a,b,c WHERE a.t=b.u AND a.r=c.z;
SELECT * FROM a,b,c WHERE a.t=b.u AND b.w=c.z;
SELECT * FROM a,b,c WHERE a.t=c.x AND a.s=b.v;
SELECT * FROM a,b,c WHERE a.t=c.x AND b.v=c.y;
SELECT * FROM a,b,c WHERE a.t=c.x AND a.r=b.w;
SELECT * FROM a,b,c WHERE a.t=c.x AND b.w=c.z;
SELECT * FROM a,b,c WHERE b.u=c.x AND a.s=b.v;
SELECT * FROM a,b,c WHERE b.u=c.x AND a.s=c.y;
SELECT * FROM a,b,c WHERE b.u=c.x AND a.r=b.w;
SELECT * FROM a,b,c WHERE b.u=c.x AND a.r=c.z;
SELECT * FROM a,b,c WHERE a.s=b.v AND a.t=c.x;
SELECT * FROM a,b,c WHERE a.s=b.v AND b.u=c.x;
SELECT * FROM a,b,c WHERE a.s=b.v AND a.r=c.z;
SELECT * FROM a,b,c WHERE a.s=b.v AND b.w=c.z;
SELECT * FROM a,b,c WHERE a.s=c.y AND a.t=b.u;
SELECT * FROM a,b,c WHERE a.s=c.y AND b.u=c.x;
SELECT * FROM a,b,c WHERE a.s=c.y AND a.r=b.w;
SELECT * FROM a,b,c WHERE a.s=c.y AND b.w=c.z;
SELECT * FROM a,b,c WHERE b.v=c.y AND a.t=b.u;
SELECT * FROM a,b,c WHERE b.v=c.y AND a.t=c.x;
SELECT * FROM a,b,c WHERE b.v=c.y AND a.r=b.w;
SELECT * FROM a,b,c WHERE b.v=c.y AND a.r=c.z;
SELECT * FROM a,b,c WHERE a.r=b.w AND a.t=c.x;
SELECT * FROM a,b,c WHERE a.r=b.w AND b.u=c.x;
SELECT * FROM a,b,c WHERE a.r=b.w AND a.s=c.y;
SELECT * FROM a,b,c WHERE a.r=b.w AND b.v=c.y;
SELECT * FROM a,b,c WHERE a.r=c.z AND a.t=b.u;
SELECT * FROM a,b,c WHERE a.r=c.z AND b.u=c.x;
SELECT * FROM a,b,c WHERE a.r=c.z AND a.s=b.v;
SELECT * FROM a,b,c WHERE a.r=c.z AND b.v=c.y;
SELECT * FROM a,b,c WHERE b.w=c.z AND a.t=b.u;
SELECT * FROM a,b,c WHERE b.w=c.z AND a.t=c.x;
SELECT * FROM a,b,c WHERE b.w=c.z AND a.s=b.v;
SELECT * FROM a,b,c WHERE b.w=c.z AND a.s=c.y;
